YearAwarded,Name
,Crowne Plaza Changi Airport
,Marina Bay Sands
,Village Hotel Changi by Far East Hospitality
2015,Carlton Hotel Singapore
,Strand Hotel
,V Hotel Lavender
2015,Champion Hotel
,Ambassador Transit Hotel - Terminal 3
2016,Peninsula Excelsior Hotel
2015,Fragrance Hotel - Riverside
2015,Furama RiverFront Hotel
,The Keong Saik Hotel
,Hotel Supreme
2015,Parc Sovereign Hotel - Tyrwhitt
,Hotel Bencoolen @ Hong Kong Street
,Ambassador Transit Hotel - Terminal 2
,Tai Hoe Hotel
,The Scarlet Singapore Hotel
2015,Hotel 81 Premier Star
2015,Capri by Fraser - Changi City
,Bright Star Hotel
,Fragrance Hotel - Crystal
2016,Royal Plaza on Scotts Hotel
,Porcelain Hotel by JL Asia
,Marina Mandarin Singapore Hotel
,ZEN Rooms Mackenzie
,Parc Sovereign Hotel - Albert St
,five/6 Hotel Splendour
2016,Mandarin Orchard Singapore
,Hotel G Singapore
,Champion Hotel City
2016,Hotel Boss
,Hotel Jen Orchardgateway Singapore by Shangri-la
2015,Carlton City Hotel Singapore
,Park 22 Hotel Little India
,Robertson Quay Hotel
,Hotel 81 Dickson
2015,Amara Singapore
,Fragrance Hotel - Ruby
,V Hotel Bencoolen
,Capella Singapore Hotel
,Amara Sanctuary Resort Sentosa
,Swissotel The Stamford Hotel
,The Fullerton Hotel
,PARKROYAL On Pickering
